customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
CUST00200,567,476,1544419.81,2,1,1,Lost
CUST00181,569,497,1542321.02,4,1,1,Recent
CUST00077,567,487,1521982.07,2,1,1,Lost
CUST00097,570,470,1487129.31,4,1,1,Recent
CUST00122,568,463,1483188.9,3,1,1,Loyal
CUST00028,569,476,1481527.84,3,1,1,Loyal
CUST00110,568,481,1479584.73,3,1,1,Loyal
CUST00101,568,460,1477854.32,3,1,1,Loyal
CUST00124,572,454,1472131.31,5,1,1,Recent
CUST00196,574,483,1471132.9,5,1,1,Recent
CUST00164,569,466,1470009.71,3,1,1,Loyal
CUST00035,568,457,1461214.03,2,1,1,Lost
CUST00133,572,489,1455346.02,5,1,1,Recent
CUST00160,568,450,1442083.31,3,1,1,Loyal
CUST00136,567,466,1438452.71,1,1,1,Lost
CUST00135,567,465,1437776.93,1,1,1,Lost
CUST00076,567,457,1437038.51,2,1,1,Lost
CUST00062,570,454,1431495.57,4,1,1,Recent
CUST00134,570,450,1430000.06,4,1,1,Recent
CUST00111,569,487,1427110.37,3,1,1,Loyal
CUST00146,567,447,1422581.95,2,2,1,Lost
CUST00081,568,433,1417040.84,3,3,1,Loyal
CUST00070,573,430,1416550.21,5,3,1,Loyal
CUST00007,568,453,1416335.02,3,1,1,Loyal
CUST00033,570,439,1415688.97,4,2,1,Recent
CUST00154,568,460,1412107.93,3,1,1,Loyal
CUST00073,567,447,1411704.49,2,2,1,Lost
CUST00072,567,443,1411310.94,1,2,1,Lost
CUST00087,569,445,1410955.15,4,2,1,Recent
CUST00144,568,444,1407816.21,3,2,1,Loyal
CUST00143,569,461,1407443.52,3,1,1,Loyal
CUST00106,567,449,1406441.17,2,2,1,Lost
CUST00038,567,464,1403949.53,1,1,1,Lost
CUST00166,575,462,1401500.06,5,1,1,Recent
CUST00195,569,442,1397632.57,4,2,1,Recent
CUST00022,568,449,1396737.36,3,1,1,Loyal
CUST00026,568,453,1396599.06,3,1,1,Loyal
CUST00013,567,442,1395643.12,1,2,1,Lost
CUST00119,567,439,1393708.48,1,2,1,Lost
CUST00123,567,435,1390786.81,1,2,1,Lost
CUST00075,572,445,1390501.92,5,2,2,Recent
CUST00120,572,437,1388206.51,5,2,2,Recent
CUST00197,572,452,1384674.18,5,1,2,Recent
CUST00173,568,454,1383805.02,3,1,2,Loyal
CUST00102,567,454,1383537.61,2,1,2,Lost
CUST00176,571,449,1381131.12,5,1,2,Recent
CUST00088,567,438,1380811.11,1,2,2,Lost
CUST00001,568,435,1380811.04,3,2,2,Loyal
CUST00129,567,460,1380618.52,1,1,2,Lost
CUST00107,567,437,1377741.38,1,2,2,Lost
CUST00002,567,444,1377033.87,1,2,2,Lost
CUST00137,567,455,1376445.22,2,1,2,Lost
CUST00012,567,453,1374502.5,2,1,2,Lost
CUST00177,569,426,1373861.77,4,3,2,Loyal
CUST00094,567,446,1372057.55,1,2,2,Lost
CUST00145,567,449,1371659.67,2,1,2,Lost
CUST00190,568,448,1370567.97,3,2,2,Loyal
CUST00051,569,451,1367730.59,4,1,2,Recent
CUST00048,568,432,1366624.5,3,3,2,Loyal
CUST00125,567,440,1365703.21,1,2,2,Lost
CUST00029,569,450,1365203.09,4,1,2,Recent
CUST00168,567,429,1362932.41,1,3,2,Loyal
CUST00021,567,436,1362145.97,1,2,2,Lost
