driver_id,quarter,prev_quarter_rate,on_time_rate,point_change
DRV00083,2025-01-01,63.85,0.0,-63.85
DRV00119,2025-01-01,62.77,0.0,-62.77
DRV00108,2025-01-01,61.74,0.0,-61.74
DRV00125,2025-01-01,61.47,0.0,-61.47
DRV00102,2025-01-01,59.63,0.0,-59.63
DRV00049,2025-01-01,58.93,0.0,-58.93
DRV00020,2025-01-01,58.91,0.0,-58.91
DRV00094,2025-01-01,58.82,0.0,-58.82
DRV00146,2025-01-01,58.21,0.0,-58.21
DRV00082,2025-01-01,57.89,0.0,-57.89
DRV00088,2025-01-01,57.86,0.0,-57.86
DRV00015,2025-01-01,57.52,0.0,-57.52
DRV00013,2025-01-01,56.67,0.0,-56.67
DRV00033,2025-01-01,55.64,0.0,-55.64
DRV00122,2025-01-01,54.81,0.0,-54.81
DRV00005,2025-01-01,54.79,0.0,-54.79
DRV00150,2025-01-01,54.62,0.0,-54.62
DRV00054,2025-01-01,54.46,0.0,-54.46
DRV00107,2025-01-01,53.33,0.0,-53.33
DRV00087,2025-01-01,53.17,0.0,-53.17
DRV00101,2025-01-01,51.38,0.0,-51.38
DRV00145,2025-01-01,51.16,0.0,-51.16
DRV00149,2025-01-01,51.08,0.0,-51.08
DRV00011,2025-01-01,50.0,0.0,-50.0
DRV00075,2025-01-01,50.0,0.0,-50.0
DRV00130,2025-01-01,47.75,0.0,-47.75
DRV00064,2025-01-01,43.85,0.0,-43.85
DRV00110,2024-07-01,67.07,41.18,-25.89
DRV00017,2025-01-01,53.98,33.33,-20.65
DRV00103,2023-01-01,66.67,47.75,-18.92
DRV00124,2024-01-01,62.18,43.36,-18.82
DRV00006,2024-04-01,67.33,49.57,-17.76
DRV00099,2024-01-01,65.22,48.7,-16.52
DRV00064,2023-10-01,61.7,45.35,-16.35
DRV00103,2022-07-01,64.81,48.48,-16.33
DRV00030,2024-07-01,64.71,48.76,-15.95
DRV00034,2022-04-01,69.15,53.33,-15.82
DRV00009,2024-07-01,59.04,43.52,-15.52
DRV00148,2023-01-01,65.29,50.0,-15.29
DRV00019,2022-04-01,60.53,45.38,-15.15
DRV00138,2023-07-01,64.13,49.14,-14.99
DRV00033,2022-10-01,66.02,51.46,-14.56
DRV00113,2023-07-01,70.0,55.56,-14.44
DRV00132,2023-04-01,58.54,44.19,-14.35
DRV00074,2024-04-01,57.95,43.68,-14.27
DRV00111,2024-10-01,59.83,45.63,-14.2
DRV00050,2023-07-01,67.71,53.61,-14.1
DRV00038,2023-10-01,63.27,49.18,-14.09
DRV00099,2024-10-01,63.36,49.3,-14.06
DRV00014,2023-07-01,58.4,44.35,-14.05
DRV00074,2022-04-01,57.24,43.33,-13.91
DRV00123,2024-01-01,65.85,52.0,-13.85
DRV00057,2023-10-01,55.36,41.51,-13.85
DRV00102,2023-01-01,64.84,51.04,-13.8
DRV00038,2022-07-01,69.6,55.88,-13.72
DRV00124,2022-07-01,51.61,37.89,-13.72
DRV00081,2022-07-01,63.0,49.29,-13.71
DRV00047,2023-07-01,63.16,49.56,-13.6
DRV00066,2023-04-01,66.21,52.78,-13.43
DRV00023,2024-01-01,64.23,50.89,-13.34
DRV00094,2023-10-01,60.0,46.72,-13.28
DRV00012,2022-10-01,61.0,48.08,-12.92
DRV00026,2024-07-01,60.8,48.0,-12.8
DRV00107,2022-04-01,61.61,49.0,-12.61
DRV00013,2022-10-01,63.43,50.85,-12.58
DRV00029,2023-01-01,58.59,46.32,-12.27
DRV00097,2023-10-01,58.95,46.74,-12.21
DRV00105,2024-01-01,63.16,51.04,-12.12
DRV00012,2023-07-01,63.16,51.04,-12.12
DRV00064,2024-10-01,55.96,43.85,-12.11
DRV00149,2024-04-01,62.5,50.41,-12.09
DRV00122,2024-01-01,59.8,47.83,-11.97
DRV00084,2023-04-01,61.96,50.0,-11.96
DRV00107,2023-10-01,65.0,53.21,-11.79
DRV00009,2022-04-01,59.82,48.06,-11.76
DRV00082,2022-07-01,57.84,46.09,-11.75
DRV00108,2024-01-01,67.65,55.94,-11.71
DRV00005,2023-04-01,58.18,46.53,-11.65
DRV00105,2022-04-01,63.64,52.07,-11.57
DRV00117,2023-10-01,63.0,51.69,-11.31
DRV00139,2022-07-01,57.66,46.36,-11.3
DRV00001,2023-01-01,65.91,54.65,-11.26
DRV00091,2024-07-01,62.5,51.25,-11.25
DRV00141,2024-01-01,59.5,48.25,-11.25
DRV00121,2022-07-01,60.15,48.94,-11.21
DRV00034,2023-01-01,64.75,53.61,-11.14
DRV00145,2023-01-01,59.13,48.0,-11.13
DRV00084,2022-07-01,56.35,45.24,-11.11
DRV00019,2025-01-01,61.06,50.0,-11.06
DRV00120,2022-10-01,63.89,52.88,-11.01
DRV00128,2024-07-01,59.81,48.87,-10.94
DRV00122,2023-01-01,57.39,46.51,-10.88
DRV00016,2023-07-01,64.89,54.05,-10.84
