trip_id,truck_id,fuel_gallons_used,truck_avg,truck_stddev
TRIP00000812,TRK00001,521.1,221.62,127.62
TRIP00007166,TRK00001,567.8,221.62,127.62
TRIP00008865,TRK00001,514.9,221.62,127.62
TRIP00010467,TRK00001,501.6,221.62,127.62
TRIP00012823,TRK00001,479.3,221.62,127.62
TRIP00015076,TRK00001,514.8,221.62,127.62
TRIP00018706,TRK00001,502.7,221.62,127.62
TRIP00024020,TRK00001,549.7,221.62,127.62
TRIP00024903,TRK00001,478.8,221.62,127.62
TRIP00030349,TRK00001,498.9,221.62,127.62
TRIP00044323,TRK00001,493.0,221.62,127.62
TRIP00050037,TRK00001,504.7,221.62,127.62
TRIP00063739,TRK00001,494.1,221.62,127.62
TRIP00074623,TRK00001,562.8,221.62,127.62
TRIP00081251,TRK00001,511.9,221.62,127.62
TRIP00081921,TRK00001,570.2,221.62,127.62
TRIP00084913,TRK00001,481.2,221.62,127.62
TRIP00001547,TRK00002,549.3,222.97,130.47
TRIP00010199,TRK00002,508.7,222.97,130.47
TRIP00013974,TRK00002,497.8,222.97,130.47
TRIP00014070,TRK00002,489.0,222.97,130.47
TRIP00014501,TRK00002,558.8,222.97,130.47
TRIP00020183,TRK00002,516.5,222.97,130.47
TRIP00027333,TRK00002,488.3,222.97,130.47
TRIP00029201,TRK00002,599.1,222.97,130.47
TRIP00033063,TRK00002,576.7,222.97,130.47
TRIP00035947,TRK00002,488.2,222.97,130.47
TRIP00042200,TRK00002,499.4,222.97,130.47
TRIP00042363,TRK00002,511.5,222.97,130.47
TRIP00042816,TRK00002,547.7,222.97,130.47
TRIP00044932,TRK00002,529.0,222.97,130.47
TRIP00058424,TRK00002,547.9,222.97,130.47
TRIP00058613,TRK00002,485.1,222.97,130.47
TRIP00059769,TRK00002,608.0,222.97,130.47
TRIP00060235,TRK00002,487.3,222.97,130.47
TRIP00063277,TRK00002,555.8,222.97,130.47
TRIP00066260,TRK00002,498.2,222.97,130.47
TRIP00075020,TRK00002,485.3,222.97,130.47
TRIP00080602,TRK00002,556.3,222.97,130.47
TRIP00082917,TRK00002,507.1,222.97,130.47
TRIP00009592,TRK00004,486.1,218.73,126.91
TRIP00018538,TRK00004,492.2,218.73,126.91
TRIP00019710,TRK00004,546.9,218.73,126.91
TRIP00020691,TRK00004,527.8,218.73,126.91
TRIP00020857,TRK00004,524.5,218.73,126.91
TRIP00024493,TRK00004,480.1,218.73,126.91
TRIP00024915,TRK00004,493.0,218.73,126.91
TRIP00031964,TRK00004,482.0,218.73,126.91
TRIP00038750,TRK00004,585.8,218.73,126.91
TRIP00044468,TRK00004,490.8,218.73,126.91
TRIP00046393,TRK00004,565.2,218.73,126.91
TRIP00048696,TRK00004,565.7,218.73,126.91
TRIP00050547,TRK00004,481.2,218.73,126.91
TRIP00052809,TRK00004,483.1,218.73,126.91
TRIP00058953,TRK00004,496.4,218.73,126.91
TRIP00065672,TRK00004,494.2,218.73,126.91
TRIP00080653,TRK00004,490.4,218.73,126.91
TRIP00000789,TRK00006,505.4,226.18,123.93
TRIP00001309,TRK00006,502.7,226.18,123.93
TRIP00008731,TRK00006,475.9,226.18,123.93
TRIP00012865,TRK00006,481.0,226.18,123.93
TRIP00032954,TRK00006,478.5,226.18,123.93
TRIP00033696,TRK00006,595.6,226.18,123.93
TRIP00035077,TRK00006,523.0,226.18,123.93
TRIP00041030,TRK00006,515.8,226.18,123.93
TRIP00047511,TRK00006,506.6,226.18,123.93
TRIP00051057,TRK00006,494.5,226.18,123.93
TRIP00051959,TRK00006,510.2,226.18,123.93
TRIP00052342,TRK00006,489.9,226.18,123.93
TRIP00070512,TRK00006,512.4,226.18,123.93
TRIP00072570,TRK00006,488.1,226.18,123.93
TRIP00075042,TRK00006,480.9,226.18,123.93
TRIP00001654,TRK00007,490.7,225.34,124.95
TRIP00011759,TRK00007,479.7,225.34,124.95
TRIP00023855,TRK00007,509.0,225.34,124.95
TRIP00024047,TRK00007,554.9,225.34,124.95
TRIP00030874,TRK00007,509.6,225.34,124.95
TRIP00033604,TRK00007,495.9,225.34,124.95
TRIP00050012,TRK00007,483.6,225.34,124.95
TRIP00052717,TRK00007,561.2,225.34,124.95
TRIP00053786,TRK00007,480.0,225.34,124.95
TRIP00060607,TRK00007,566.4,225.34,124.95
TRIP00065943,TRK00007,486.1,225.34,124.95
TRIP00067313,TRK00007,526.4,225.34,124.95
TRIP00068758,TRK00007,494.6,225.34,124.95
TRIP00070776,TRK00007,481.5,225.34,124.95
TRIP00074907,TRK00007,578.1,225.34,124.95
TRIP00075207,TRK00007,605.0,225.34,124.95
TRIP00006432,TRK00008,498.4,224.83,127.71
TRIP00011101,TRK00008,509.8,224.83,127.71
TRIP00013768,TRK00008,555.0,224.83,127.71
TRIP00014127,TRK00008,490.9,224.83,127.71
TRIP00016769,TRK00008,523.9,224.83,127.71
TRIP00017383,TRK00008,538.6,224.83,127.71
TRIP00018676,TRK00008,501.5,224.83,127.71
TRIP00028303,TRK00008,564.5,224.83,127.71
TRIP00030561,TRK00008,481.5,224.83,127.71
TRIP00039492,TRK00008,543.4,224.83,127.71
TRIP00044007,TRK00008,571.9,224.83,127.71
TRIP00044852,TRK00008,505.4,224.83,127.71
TRIP00049534,TRK00008,488.6,224.83,127.71
TRIP00055037,TRK00008,515.1,224.83,127.71
TRIP00056650,TRK00008,493.7,224.83,127.71
TRIP00069938,TRK00008,551.3,224.83,127.71
