truck_id,gap_start,gap_end,gap_days
TRK00019,2024-10-23,2024-11-07,15
TRK00091,2023-09-28,2023-10-11,13
TRK00007,2023-07-05,2023-07-17,12
TRK00050,2023-08-10,2023-08-22,12
TRK00014,2024-06-10,2024-06-22,12
TRK00095,2024-04-08,2024-04-20,12
TRK00060,2022-05-02,2022-05-13,11
TRK00074,2024-03-29,2024-04-09,11
TRK00070,2022-09-04,2022-09-15,11
TRK00039,2022-05-22,2022-06-02,11
TRK00059,2022-04-30,2022-05-11,11
TRK00001,2024-07-29,2024-08-08,10
TRK00071,2022-05-13,2022-05-23,10
TRK00041,2024-11-01,2024-11-11,10
TRK00010,2023-01-21,2023-01-31,10
TRK00010,2023-10-27,2023-11-06,10
TRK00025,2023-05-25,2023-06-04,10
TRK00089,2022-07-06,2022-07-16,10
TRK00089,2023-11-03,2023-11-13,10
TRK00090,2022-04-21,2022-05-01,10
TRK00059,2023-03-13,2023-03-23,10
TRK00092,2023-10-31,2023-11-10,10
TRK00030,2022-03-17,2022-03-27,10
TRK00110,2024-02-07,2024-02-17,10
TRK00040,2022-08-30,2022-09-09,10
TRK00078,2023-09-21,2023-09-30,9
TRK00112,2023-10-13,2023-10-22,9
TRK00090,2024-08-20,2024-08-29,9
TRK00091,2022-10-21,2022-10-30,9
TRK00078,2022-07-19,2022-07-28,9
TRK00076,2024-09-14,2024-09-23,9
TRK00112,2023-12-30,2024-01-08,9
TRK00067,2022-12-18,2022-12-27,9
TRK00052,2023-02-11,2023-02-20,9
TRK00051,2024-11-21,2024-11-30,9
TRK00026,2023-11-12,2023-11-21,9
TRK00029,2023-12-02,2023-12-11,9
TRK00098,2024-02-29,2024-03-09,9
TRK00040,2022-05-24,2022-06-02,9
TRK00051,2023-05-28,2023-06-06,9
TRK00101,2022-03-26,2022-04-04,9
TRK00062,2024-10-28,2024-11-06,9
TRK00063,2023-04-07,2023-04-16,9
TRK00011,2023-12-14,2023-12-23,9
TRK00036,2024-08-30,2024-09-08,9
TRK00054,2022-11-28,2022-12-07,9
TRK00083,2022-05-28,2022-06-06,9
TRK00083,2023-08-15,2023-08-24,9
TRK00054,2022-12-08,2022-12-17,9
TRK00080,2024-09-20,2024-09-29,9
TRK00057,2024-10-20,2024-10-29,9
TRK00068,2023-07-15,2023-07-24,9
TRK00015,2022-11-08,2022-11-17,9
TRK00089,2024-06-20,2024-06-28,8
TRK00091,2023-01-26,2023-02-03,8
TRK00092,2023-10-15,2023-10-23,8
TRK00096,2023-05-31,2023-06-08,8
TRK00096,2024-01-21,2024-01-29,8
TRK00098,2022-12-29,2023-01-06,8
TRK00098,2024-05-03,2024-05-11,8
TRK00099,2023-12-23,2023-12-31,8
TRK00103,2023-02-10,2023-02-18,8
TRK00107,2023-02-14,2023-02-22,8
TRK00108,2022-07-16,2022-07-24,8
TRK00108,2022-07-31,2022-08-08,8
TRK00112,2022-07-20,2022-07-28,8
TRK00113,2022-06-24,2022-07-02,8
TRK00113,2024-05-30,2024-06-07,8
TRK00116,2022-02-05,2022-02-13,8
TRK00120,2024-08-21,2024-08-29,8
TRK00004,2024-12-06,2024-12-14,8
TRK00007,2023-03-18,2023-03-26,8
TRK00007,2024-12-15,2024-12-23,8
TRK00008,2022-03-03,2022-03-11,8
TRK00009,2023-06-06,2023-06-14,8
TRK00009,2024-05-14,2024-05-22,8
TRK00010,2022-02-20,2022-02-28,8
TRK00011,2023-10-28,2023-11-05,8
TRK00014,2022-09-09,2022-09-17,8
TRK00014,2023-07-28,2023-08-05,8
TRK00014,2023-10-30,2023-11-07,8
TRK00015,2022-06-04,2022-06-12,8
TRK00018,2024-10-30,2024-11-07,8
TRK00019,2023-02-18,2023-02-26,8
TRK00019,2023-04-27,2023-05-05,8
TRK00020,2023-05-05,2023-05-13,8
TRK00023,2022-05-25,2022-06-02,8
TRK00023,2022-11-28,2022-12-06,8
TRK00023,2023-11-26,2023-12-04,8
TRK00023,2024-09-20,2024-09-28,8
TRK00026,2022-03-13,2022-03-21,8
TRK00026,2023-06-19,2023-06-27,8
TRK00035,2023-07-18,2023-07-26,8
TRK00036,2023-12-31,2024-01-08,8
TRK00041,2023-12-02,2023-12-10,8
TRK00048,2024-09-09,2024-09-17,8
TRK00052,2024-05-21,2024-05-29,8
TRK00053,2024-04-27,2024-05-05,8
TRK00054,2023-07-11,2023-07-19,8
TRK00059,2022-06-10,2022-06-18,8
TRK00061,2023-05-25,2023-06-02,8
TRK00061,2023-08-14,2023-08-22,8
TRK00061,2024-01-17,2024-01-25,8
TRK00062,2023-08-19,2023-08-27,8
TRK00065,2022-12-03,2022-12-11,8
TRK00065,2023-06-25,2023-07-03,8
TRK00067,2022-03-12,2022-03-20,8
TRK00067,2024-06-09,2024-06-17,8
TRK00067,2024-08-27,2024-09-04,8
TRK00068,2024-06-13,2024-06-21,8
TRK00071,2023-02-07,2023-02-15,8
TRK00071,2024-05-18,2024-05-26,8
TRK00073,2023-05-28,2023-06-05,8
TRK00073,2024-01-15,2024-01-23,8
TRK00073,2024-12-10,2024-12-18,8
TRK00074,2024-02-13,2024-02-21,8
TRK00079,2024-06-09,2024-06-17,8
TRK00080,2022-11-18,2022-11-26,8
TRK00082,2022-04-23,2022-05-01,8
TRK00083,2024-10-01,2024-10-09,8
TRK00085,2023-12-26,2024-01-03,8
TRK00086,2024-11-30,2024-12-08,8
