driver_id,make,total_revenue
DRV00001,Freightliner,316402.37
DRV00001,International,362226.93
DRV00001,Kenworth,258511.56
DRV00001,Mack,329969.71
DRV00001,Peterbilt,311993.71
DRV00001,Volvo,372519.12
DRV00002,Freightliner,272014.12
DRV00002,International,381147.37
DRV00002,Kenworth,190798.86
DRV00002,Mack,313862.43
DRV00002,Peterbilt,429707.33
DRV00002,Volvo,453468.68
DRV00003,Freightliner,358389.67
DRV00003,International,406147.44
DRV00003,Kenworth,249147.72
DRV00003,Mack,317986.43
DRV00003,Peterbilt,429064.3
DRV00003,Volvo,317752.24
DRV00004,Freightliner,353553.2
DRV00004,International,372308.56
DRV00004,Kenworth,266058.91
DRV00004,Mack,288043.48
DRV00004,Peterbilt,365562.44
DRV00004,Volvo,426742.28
DRV00005,Freightliner,328946.05
DRV00005,International,350945.16
DRV00005,Kenworth,207475.96
DRV00005,Mack,312132.58
DRV00005,Peterbilt,359576.71
DRV00005,Volvo,407995.12
DRV00006,Freightliner,325392.24
DRV00006,International,321169.08
DRV00006,Kenworth,222877.95
DRV00006,Mack,243445.28
DRV00006,Peterbilt,372264.68
DRV00006,Volvo,423458.66
DRV00009,Freightliner,393697.36
DRV00009,International,402956.77
DRV00009,Kenworth,186693.24
DRV00009,Mack,317788.54
DRV00009,Peterbilt,363155.6
DRV00009,Volvo,372502.18
DRV00010,Freightliner,309403.52
DRV00010,International,451937.01
DRV00010,Kenworth,245618.88
DRV00010,Mack,277338.86
DRV00010,Peterbilt,431365.45
DRV00010,Volvo,391812.89
DRV00011,Freightliner,312950.74
DRV00011,International,358925.88
DRV00011,Kenworth,283914.16
DRV00011,Mack,365048.07
DRV00011,Peterbilt,402330.2
DRV00011,Volvo,382185.4
DRV00012,Freightliner,244236.25
DRV00012,International,293908.62
DRV00012,Kenworth,229694.41
DRV00012,Mack,237170.22
DRV00012,Peterbilt,300900.71
DRV00012,Volvo,409086.49
DRV00013,Freightliner,313713.64
DRV00013,International,406452.73
DRV00013,Kenworth,224873.28
DRV00013,Mack,336908.38
DRV00013,Peterbilt,386435.06
DRV00013,Volvo,420353.51
DRV00014,Freightliner,317049.21
DRV00014,International,401868.71
DRV00014,Kenworth,224552.32
DRV00014,Mack,314845.66
DRV00014,Peterbilt,375702.07
DRV00014,Volvo,483452.06
DRV00015,Freightliner,339572.24
DRV00015,International,360126.39
DRV00015,Kenworth,331150.45
DRV00015,Mack,365349.55
DRV00015,Peterbilt,319121.87
DRV00015,Volvo,438907.41
DRV00016,Freightliner,411438.18
DRV00016,International,377523.92
DRV00016,Kenworth,208025.35
DRV00016,Mack,374444.26
DRV00016,Peterbilt,457011.22
DRV00016,Volvo,416807.61
DRV00017,Freightliner,302037.73
DRV00017,International,381838.76
DRV00017,Kenworth,237394.85
DRV00017,Mack,339392.73
DRV00017,Peterbilt,380677.97
DRV00017,Volvo,323272.33
DRV00018,Freightliner,338311.49
DRV00018,International,357555.17
DRV00018,Kenworth,205821.46
DRV00018,Mack,307414.59
DRV00018,Peterbilt,326703.31
DRV00018,Volvo,447092.2
DRV00019,Freightliner,306545.79
DRV00019,International,424629.21
DRV00019,Kenworth,264158.99
DRV00019,Mack,386270.6
DRV00019,Peterbilt,413989.53
DRV00019,Volvo,444325.28
DRV00020,Freightliner,335846.61
DRV00020,International,370548.1
DRV00020,Kenworth,201661.67
DRV00020,Mack,348452.55
DRV00020,Peterbilt,319245.96
DRV00020,Volvo,468971.5
DRV00022,Freightliner,327897.62
DRV00022,International,322151.84
DRV00022,Kenworth,255294.4
DRV00022,Mack,312805.23
DRV00022,Peterbilt,368646.57
DRV00022,Volvo,408914.48
DRV00023,Freightliner,320293.57
DRV00023,International,361454.32
DRV00023,Kenworth,286353.4
DRV00023,Mack,284798.89
DRV00023,Peterbilt,351522.12
DRV00023,Volvo,462326.03
DRV00024,Freightliner,316416.02
DRV00024,International,454221.33
DRV00024,Kenworth,254947.4
DRV00024,Mack,296430.38
DRV00024,Peterbilt,362450.56
DRV00024,Volvo,436870.82
DRV00025,Freightliner,236040.83
DRV00025,International,413316.77
DRV00025,Kenworth,209086.03
DRV00025,Mack,284182.27
DRV00025,Peterbilt,362023.84
DRV00025,Volvo,421100.48
