month,revenue,running_total
2021-12-31 23:00:00+00:00,7566361.99,7566361.99
2022-01-31 23:00:00+00:00,6574259.06,14140621.05
2022-02-28 23:00:00+00:00,7401197.05,21541818.1
2022-03-31 23:00:00+00:00,7156041.22,28697859.32
2022-04-30 23:00:00+00:00,7518061.33,36215920.65
2022-05-31 23:00:00+00:00,7325637.69,43541558.34
2022-06-30 23:00:00+00:00,7380097.23,50921655.57
2022-07-31 23:00:00+00:00,7716839.57,58638495.14
2022-08-31 23:00:00+00:00,7108889.83,65747384.97
2022-09-30 23:00:00+00:00,7501831.55,73249216.52
2022-10-31 23:00:00+00:00,7260206.36,80509422.88
2022-11-30 23:00:00+00:00,7341477.11,87850899.99
2022-12-31 23:00:00+00:00,7428081.31,95278981.3
2023-01-31 23:00:00+00:00,6618783.0,101897764.3
2023-02-28 23:00:00+00:00,7509745.7,109407510.0
2023-03-31 23:00:00+00:00,7289831.14,116697341.14
2023-04-30 23:00:00+00:00,7243795.22,123941136.36
2023-05-31 23:00:00+00:00,7278443.23,131219579.59
2023-06-30 23:00:00+00:00,7576414.14,138795993.73
2023-07-31 23:00:00+00:00,7194393.58,145990387.31
2023-08-31 23:00:00+00:00,7018436.2,153008823.51
2023-09-30 23:00:00+00:00,7406523.72,160415347.23
2023-10-31 23:00:00+00:00,7235373.47,167650720.7
2023-11-30 23:00:00+00:00,7155728.93,174806449.63
2023-12-31 23:00:00+00:00,7386201.05,182192650.68
2024-01-31 23:00:00+00:00,6970220.94,189162871.62
2024-02-29 23:00:00+00:00,7453599.0,196616470.62
2024-03-31 23:00:00+00:00,7122948.73,203739419.35
2024-04-30 23:00:00+00:00,7569586.95,211309006.3
2024-05-31 23:00:00+00:00,7489030.25,218798036.55
2024-06-30 23:00:00+00:00,7310741.99,226108778.54
2024-07-31 23:00:00+00:00,7349694.49,233458473.03
2024-08-31 23:00:00+00:00,7145569.37,240604042.4
2024-09-30 23:00:00+00:00,7497105.73,248101148.13
2024-10-31 23:00:00+00:00,7095885.93,255197034.06
2024-11-30 23:00:00+00:00,7328766.23,262525800.29
