facility_id,total_events,late_events,late_rate_pct
FAC00048,3384,1589,46.96
FAC00012,3278,1527,46.58
FAC00034,3414,1589,46.54
FAC00011,3419,1570,45.92
FAC00018,3392,1551,45.73
FAC00030,3391,1547,45.62
FAC00009,3404,1552,45.59
FAC00043,3522,1605,45.57
FAC00049,3365,1533,45.56
FAC00046,3437,1563,45.48
FAC00035,3457,1572,45.47
FAC00015,3391,1536,45.3
FAC00041,3436,1549,45.08
FAC00033,3478,1567,45.05
FAC00029,3387,1523,44.97
FAC00036,3398,1525,44.88
FAC00024,3417,1529,44.75
FAC00014,3399,1516,44.6
FAC00050,3457,1540,44.55
FAC00023,3282,1460,44.49
FAC00045,3380,1503,44.47
FAC00025,3462,1538,44.43
FAC00004,3374,1497,44.37
FAC00002,3434,1523,44.35
FAC00028,3580,1587,44.33
FAC00013,3410,1511,44.31
FAC00016,3424,1517,44.3
FAC00032,3388,1500,44.27
FAC00017,3449,1521,44.1
FAC00006,3340,1473,44.1
FAC00031,3509,1544,44.0
FAC00037,3407,1497,43.94
FAC00027,3435,1507,43.87
FAC00026,3418,1498,43.83
FAC00019,3368,1476,43.82
FAC00047,3474,1521,43.78
FAC00010,3528,1542,43.71
FAC00038,3352,1454,43.38
FAC00042,3434,1489,43.36
FAC00040,3385,1467,43.34
FAC00044,3499,1516,43.33
FAC00039,3474,1505,43.32
FAC00007,3396,1467,43.2
FAC00021,3268,1410,43.15
FAC00005,3399,1460,42.95
FAC00003,3526,1507,42.74
FAC00008,3435,1464,42.62
FAC00020,3466,1474,42.53
FAC00022,3419,1446,42.29
FAC00001,3279,1368,41.72
